job_id,company_id,company_name,title,location,work_type,experience_level,posting_date,views,applies,workplace_model,Role_Category,Annualized_Salary
3894287435,1419.0,Capital One,"Senior Data Scientist, Experimentation & Personalization","McLean, VA",FULL_TIME,Mid-Senior level,1712862846000.0,3.0,,On-site / Hybrid,Data Science,
3894287443,1419.0,Capital One,"Senior Data Scientist, - AI Foundations, Personalization","Cambridge, MA",FULL_TIME,Mid-Senior level,1712862851000.0,3.0,,On-site / Hybrid,Data Science,
3894287586,2194032.0,Hvantage Technologies Inc USA,Senior Databricks Engineer,"Los Angeles, CA",FULL_TIME,,1712863422000.0,1.0,,On-site / Hybrid,Data Engineering,
3894288352,1419.0,Capital One,"Senior Data Scientist, - AI Foundations, Personalization","New York, NY",FULL_TIME,Mid-Senior level,1712862846000.0,5.0,1.0,On-site / Hybrid,Data Science,
3894288357,1419.0,Capital One,"Senior Data Scientist, Experimentation & Personalization","San Francisco, CA",FULL_TIME,Mid-Senior level,1712862849000.0,3.0,,On-site / Hybrid,Data Science,
3894289299,1419.0,Capital One,"Senior Data Scientist, - AI Foundations, Personalization","San Francisco, CA",FULL_TIME,Mid-Senior level,1712862853000.0,3.0,,On-site / Hybrid,Data Science,
3894291104,1419.0,Capital One,Sr. Distinguished Data Engineer,"McLean, VA",FULL_TIME,Mid-Senior level,1712862851000.0,2.0,,On-site / Hybrid,Data Engineering,
3894291123,14422722.0,Headway Tek Inc,ML Engineer,"Irving, TX",FULL_TIME,Mid-Senior level,1712862919000.0,,,On-site / Hybrid,Data Science,
3894291680,3123217.0,Glocomms,Sr. Director/Head of Business Intelligence,"Houston, TX",FULL_TIME,Director,1712863995000.0,2.0,1.0,On-site / Hybrid,Data Analytics,265000.0
3894292850,8221.0,Equinix,Data Center Site Engineer,"Ashburn, VA",FULL_TIME,Associate,1712864576000.0,2.0,,On-site / Hybrid,Data Engineering,
3894294473,2985733.0,Aditi Consulting,Data Analyst I,"Austin, TX",FULL_TIME,Mid-Senior level,1712793600000.0,4.0,,On-site / Hybrid,Data Analytics,
3894296740,4376.0,Manhattan Associates,"Senior Database Engineer, Cloud Services","Atlanta, GA",FULL_TIME,Mid-Senior level,1712865669000.0,5.0,,On-site / Hybrid,Data Engineering,
3894298512,71575605.0,FedEx Logistics,Data Analyst 2,"La Vergne, TN",FULL_TIME,,1712865382000.0,6.0,,On-site / Hybrid,Data Analytics,
3894298670,3684.0,Mastech Digital,Data Engineer,"Pittsburgh, PA",FULL_TIME,Mid-Senior level,1712865823000.0,3.0,1.0,On-site / Hybrid,Data Engineering,
3894299338,79383535.0,Akkodis,Big Data Engineer/Mandarin Speaking,"San Jose, CA",CONTRACT,Associate,1712865237000.0,19.0,3.0,On-site / Hybrid,Data Engineering,
3894400441,79383535.0,Akkodis,Data Engineer,United States,CONTRACT,Mid-Senior level,1712866013000.0,7.0,1.0,On-site / Hybrid,Data Engineering,
3894417070,1318.0,Wipro,Azure Synapse Data Engineer,"Dallas, TX",FULL_TIME,,1712869019000.0,4.0,,On-site / Hybrid,Data Engineering,
3894526754,4298.0,University of Virginia,Intermediate Data Scientist,"Charlottesville, VA",FULL_TIME,Entry level,1712881417000.0,5.0,,On-site / Hybrid,Data Science,110000.0
3894541969,1419.0,Capital One,Senior Lead Engineer - Generative AI Infrastructure (Remote-Eligible),"McLean, VA",FULL_TIME,Mid-Senior level,1712884449000.0,3.0,,Remote,Data Science,
3894542853,1318.0,Wipro,Data Science,"Minneapolis, MN",FULL_TIME,,1712883414000.0,6.0,,On-site / Hybrid,Data Science,
3894543913,1419.0,Capital One,"Senior Manager, Generative AI Product Engineering - People Leader - (Remote Eligible)","Cambridge, MA",FULL_TIME,Mid-Senior level,1712884445000.0,4.0,,Remote,Data Science,
3894543931,1419.0,Capital One,Senior Lead Engineer - Generative AI Infrastructure (Remote-Eligible),"Cambridge, MA",FULL_TIME,Mid-Senior level,1712884452000.0,4.0,,Remote,Data Science,
3894543942,1419.0,Capital One,"Senior Manager, Generative AI Product Engineering - People Leader - (Remote Eligible)","San Jose, CA",FULL_TIME,Mid-Senior level,1712884457000.0,3.0,,Remote,Data Science,
3894544709,1419.0,Capital One,Senior Data Analyst,"McLean, VA",FULL_TIME,Mid-Senior level,1712884450000.0,4.0,,On-site / Hybrid,Data Analytics,
3894544741,1419.0,Capital One,"Senior Manager, Generative AI Product Engineering - People Leader - (Remote Eligible)","Richmond, VA",FULL_TIME,Mid-Senior level,1712884466000.0,5.0,,Remote,Data Science,
3894545507,1419.0,Capital One,"Senior Manager, Generative AI Product Engineering - People Leader - (Remote Eligible)","Cambridge, MA",FULL_TIME,Mid-Senior level,1712884445000.0,5.0,,Remote,Data Science,
3894546416,1419.0,Capital One,Senior Lead Engineer - Generative AI Infrastructure (Remote-Eligible),"San Francisco, CA",FULL_TIME,Mid-Senior level,1712884448000.0,4.0,,Remote,Data Science,
3894546475,2905.0,NYC Department of Education,"Data Manager and Analytical Support Specialist, Foster Care - 23340","Bronx, NY",FULL_TIME,Mid-Senior level,1712884647000.0,4.0,,On-site / Hybrid,Data Analytics,92301.0
